term,han,vi,fr
Ám-sát,暗殺,"Giết ngầm, lập mưu giết người.",Assassinat.
Áp-lực,壓力,"Sức ngoài nó ngăn-trở, đè nén mình.","Force, pression extérieure."
Bản-thể,本體,Thể-cách bản-nhiên của một sự-vật.,"Nature intime, essence."
Bạo-động,暴動,"Dùng cách dữ-tợn, bạo-mạnh.","Violence, commettre des violences."
Bí-tàng,祕藏,Điều bí-hiểm không ai biết.,"Mystère, secret, énigme."
Biền-ngẫu,駢偶,Lối làm văn tầu lấy câu cho đối nhau.,Parallélisme (en composition chinoise).
Cải-lương (đạo),改良道,"Hay là Tân-giáo 新教, là chỉ các phái tôn-giáo mới, về đầu thế-kỷ thứ 16 phân lìa với chính-truyền đạo Thiên-chúa mà lập thành giáo riêng. Xướng ra đạo cải-lương thì ở nước Đức là Luther (tầu dịch là Mã-đinh Lộ-đức); ở nước Pháp là Calvin.",Protestantisme.
Cai-quát,該括,"Chùm gồm cả, xét chung làm một.",Embrasser l’ensemble.
Cao-đẳng-động-vật,高等動物,"Giống động-vật hình-thể gần giống người, đã có trí khôn, như giống vượn. Người ta cũng tức là giống động-vật cao hơn nhất cả.",Animaux supérieurs.
Chân-tướng,真相,"Về triết-học chị cái hình-ảnh chân thực của sự-vật, gồm cái gì có thực trong vũ-trụ.",Réalité (en philosophie).
Chinh-sát-hạm,偵察艦,Tầu chiến đi rò thám ngoài bể.,Croiseur de reconnaissance.
Chính-truyền,正傳,"Nghĩa chính trong một đạo, đời trước truyền cho đời sau.",Orthodoxie.
Chiến-hào,戰壕,Hầm đào để đánh nhau. Tức nôm ta thường gọi là hầm-hố.,Tranchée.
Chung-kiếp,終刧,"Mãi mãi, đến cùng đời, hết kiếp.","Éternellement, jusqu’à l’éternité."
Công-trình,工程,"Việc gì to tát, phải có công sếp đặt chỉnh đốn.",Œuvre.
Cổ-vũ,鼓舞,"Chính nghĩa là đánh trống, mua. Dùng rộng nghĩa thì là vui vẻ nhiệt-thành mà xướng-xuất việc gì, hoặc đưa tin phao truyền cho nhiều người biết.",s’enthousiasme; faire de la propagande (pour une œuvre).
Cơ-thể,機體,"Gồm các cơ-quan, bộ-phận trong một con vật, một cái máy, v. v.",Organisme.
Cựu-truyền,舊傳,"Tục cổ phép cũ đời trước di-truyền lại, đời này phải theo.",Tradition. (Chữ tổ-truyền 祖傳 cũng cùng một nghĩa ấy.)
Đái-lĩnh,帶領,Nói về ông tướng cầm quân.,Commander (une armée).
Điển-chương,典章,"Lề lối, phép tắc thuộc về chính-trị.",Institutions politiques.
Động-cơ,動機,Cơ-quan dùng để vận-động máy.,Moteur.
Giác-quan,覺官,Cơ-quan dùng để cảm-giác.,Sens (les cinq).
Giải-quyết,解决,"Định xong một sự gì khó, một cái vấn-đề.","Résoudre une difficuté, un problème."
Giáo-hoàng,教皇,"Người làm đầu một môn đạo. Bên Âu-châu chỉ riêng là ông chúa-tể đạo Thiên-chúa ở La-mã, tức những bổn-đạo bên nước ta gọi là đức thánh Pha-pha.",Pape.
Hắc-ám,黑暗,"Tối-tăm, mờ-ám, không phân minh. Dùng nghĩa riêng thì chỉ cái chủ-nghĩa không muốn khai-hóa cho dân.",Obscur; obscurantisme.
Hám-chế,瞰制,"Đứng cao, đứng xa, mà quản-thống cai-trị.",Dominer. (Chữ thường dùng về binh-pháp).
Hành-động,行動,"Khởi làm, cất lên làm việc gì.","Agir, action."
Hiện-tại,現在,"Việc hiện đương có, thuộc về bây giờ.",Présent.
Hộ-khán,護看,Chức trông nom người ốm ở các nhà bệnh-viện. (Tức ta gọi nôm theo tiếng tây là anh-phia-mê).,"Infirmier, infirmière."
Huyền-bí,玄祕,"Mầu-nhiệm, cao-xa, khó-hiểu.","Mystérieux, profond."
Huyễn-diệu,眩耀,"Dùng cách cao-đại để lừa người, « lòe » người.","Tromper, en imposer à autrui."
Hữu-dực,右翼,Cánh quân bên tay phải.,Aile droite (d’une armée).
Khái-niệm,槪念,"Xét chung, suy rộng để hội lấy nhẽ chung.",Généraliser.
Khởi-điểm,起點,Nơi bắt đầu; bắt đầu làm làm việc gì.,Point de départ; commencer.
Khu-trục-hạm,驅逐艦,Tầu chiến dùng để đuổi theo các tầu địch.,Croiseur de chasse.
Khuyết-tịch (án),缺席案,"Án lập vắng-mặt người bị cáo, hoặc người tội-nhân.",Jugement par contumace.
Kỹ-sư,技師,"Ông thầy nghề, người chuyên-môn về một thực-nghiệp.",Ingénieur.
Ký-vãng,旣往,"Việc đã qua rồi, thuộc về trước.",Passé.
Lạc-viên,樂園,"Vườn sung-sướng, cõi hạnh-phúc, theo đạo Thiên-chúa.",Paradis; Eden.
Lâm-thời-chính-phủ,臨時政府,Chính-phủ đặt tạm đương lúc cần cấp.,Gouvernement provisoire.
Lăng-tẩm,陵寢,"Mồ mả của nhà vua, nhà chúa.","Sépulture royale, mausolée."
Lập-hiến-chính-thể,立憲政體,Lối chính-trị có vua nhưng theo hiến-pháp của quốc-hội đặt ra.,Régime constitutionnel.
Mã-lực,馬力,"Sức mạnh của máy móc, chiểu theo sức một con ngựa.",Cheval-vapeur.
Mãi-nô,賣奴,Tục buôn bán người giống da đen làm nô-lệ.,Esclavage.
Nghi-vấn,疑問,Hỏi sự nghi-ngờ chưa biết rõ.,Interroger sur un point douteux.
Nguyên-liệu,原料,Vật liệu còn nguyên chưa chế tạo.,"Matériaux bruts, matière brute (non travaillée)"
Ngư-lôi-hạm,魚雷艦,Tầu bắn ngư-lôi. Ngư-lôi hay là thủy-lôi (torpille) là thứ trái phá dùng bắn nổ dưới nước.,Torpilleur.
Nhỡn-tuyến,眼線,Chính-nghĩa là cái « giây mắt ». Chỉ con mắt riêng để xét một sự gì.,Point de vue.
Phản-động,反動,Bị kích-động mà vận-động đối lại.,"Réagir, réaction."
Phản-kích,反擊,"Bị công-kích, quay lại đánh giả.",Contre-attaque.
Pháo-binh,砲兵,Quân dùng súng đại-bác.,Artillerie.
