H-ID;title_main;title_alt;author_id;author;publisher_id;publisher;publication_place_id;publication_place;publication_date;url1;url2;genres;PDF
4394;Ba mươi năm văn học;Trente années d'histoire littéraire, essai;2460;Kiều Thanh Quế;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb35755394h;https://gallica.bnf.fr/ark:/12148/bpt6k4239095c;;True
4397;Bẽ bàng;;2454;Thế Hùng;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb314496523;https://gallica.bnf.fr/ark:/12148/bpt6k42438284.pdf;;True
4398;Cát bụi;;2216;Thiết Can;3303;Éditions Tân Việt;3216;Hà Nội;1940;http://catalogue.bnf.fr/ark:/12148/cb314577287;https://gallica.bnf.fr/ark:/12148/bpt6k4242089r;Tiểu thuyết;True
4399;Chết;La Mort, nouvelles;2455;Khôi;3303;Éditions Tân Việt;3216;Hà Nội;1940;http://catalogue.bnf.fr/ark:/12148/cb357543708;https://gallica.bnf.fr/ark:/12148/bpt6k4243157f;Truyện;True
4400;Chiều 30 Tết;La Veille du Tết, roman;2456;Đỗ Quang Tiến;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb35752980r;https://gallica.bnf.fr/ark:/12148/bpt6k4238530f.pdf;;True
4401;Đại Việt sử ký toàn thư;Histoire du Ðai-Việt, traduction;2457;Ngô Sĩ Liên;3303;Éditions Tân Việt;3216;Hà Nội;1945;http://catalogue.bnf.fr/ark:/12148/cb35755665r;https://gallica.bnf.fr/ark:/12148/bpt6k4240008p;Chính trị - Politique(s);True
4402;Ðám ma tôi;Mon enterrement, roman;2459;Hoài Diệp;3303;Éditions Tân Việt;3216;Hà Nội;1941;http://catalogue.bnf.fr/ark:/12148/cb35753476c;https://gallica.bnf.fr/ark:/12148/bpt6k4242342c;;True
4403;Ðàn bà và nhà văn;La Femme et l'écrivain, essai;2460;Kiều Thanh Quế;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb35754151f;https://gallica.bnf.fr/ark:/12148/bpt6k4243402h;;True
4404;Ðàn bà và nhà văn;Ðàn bà và nhà văn / Kiều Thanh Quế -- 1943 -- livre;2460;Kiều Thanh Quế;3303;Éditions Tân Việt;3216;Hà Nội;1943;https://catalogue.bnf.fr/ark:/12148/cb35754151f;https://gallica.bnf.fr/ark:/12148/bpt6k4243402h;;True
4405;Đời văn;;2461;Trần Thanh Mại;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb31489453q;https://gallica.bnf.fr/ark:/12148/bpt6k42431227;;True
